H_forward (A/m),B_forward_smoothed (T),H_reverse (A/m),B_reverse_smoothed (T)
28.959999999999944,4.4377080000001895e-05,-29.279999999999973,-4.259248000000114e-05
28.639999999999965,4.432708000000193e-05,-28.799999999999955,-4.2584080000001135e-05
28.639999999999965,4.4276200000001926e-05,-28.799999999999955,-4.2575520000001125e-05
28.15999999999999,4.422444000000193e-05,-28.479999999999972,-4.256672000000116e-05
27.84000000000001,4.417188000000191e-05,-28.0,-4.2557600000001125e-05
27.680000000000017,4.411836000000192e-05,-27.84000000000001,-4.254816000000116e-05
27.360000000000035,4.4063720000001895e-05,-27.680000000000017,-4.253840000000117e-05
27.040000000000056,4.40080400000019e-05,-27.200000000000045,-4.252824000000118e-05
26.880000000000063,4.395148000000192e-05,-27.040000000000056,-4.2517600000001194e-05
26.720000000000027,4.3893960000001905e-05,-26.720000000000027,-4.2506640000001186e-05
26.400000000000045,4.383540000000193e-05,-26.24000000000001,-4.249560000000119e-05
26.08000000000002,4.3775880000001925e-05,-25.75999999999999,-4.2484480000001174e-05
25.75999999999999,4.371548000000189e-05,-25.439999999999962,-4.247328000000117e-05
25.279999999999973,4.3654120000001864e-05,-25.119999999999937,-4.2462080000001125e-05
25.119999999999983,4.3591720000001924e-05,-24.959999999999944,-4.245072000000115e-05
24.479999999999972,4.3528360000001916e-05,-24.479999999999972,-4.243904000000116e-05
24.15999999999999,4.346412000000195e-05,-24.319999999999983,-4.242712000000117e-05
23.520000000000028,4.339892000000201e-05,-23.84000000000001,-4.241496000000119e-05
23.360000000000035,4.333268000000197e-05,-23.520000000000028,-4.240256000000121e-05
22.720000000000027,4.3265560000001896e-05,-22.880000000000017,-4.239000000000118e-05
22.4,4.3197640000001895e-05,-22.720000000000027,-4.2377280000001176e-05
21.91999999999998,4.312884000000185e-05,-22.08000000000002,-4.236432000000118e-05
21.759999999999945,4.305908000000183e-05,-21.91999999999998,-4.235112000000119e-05
21.119999999999937,4.298844000000185e-05,-21.279999999999973,-4.2337680000001204e-05
20.959999999999944,4.291692000000192e-05,-21.119999999999983,-4.23239200000012e-05
20.479999999999972,4.2844520000001864e-05,-20.479999999999972,-4.230984000000116e-05
20.319999999999983,4.277140000000191e-05,-20.15999999999999,-4.2295520000001135e-05
19.680000000000017,4.2697720000001854e-05,-19.520000000000028,-4.228096000000112e-05
19.520000000000028,4.2623480000001865e-05,-19.200000000000045,-4.22661600000011e-05
18.880000000000017,4.254868000000186e-05,-18.560000000000038,-4.225120000000112e-05
18.55999999999999,4.247332000000192e-05,-18.24000000000001,-4.223600000000114e-05
17.91999999999998,4.239740000000188e-05,-17.75999999999999,-4.222048000000114e-05
17.599999999999955,4.2321000000001935e-05,-17.439999999999962,-4.220472000000114e-05
16.959999999999944,4.2244200000001936e-05,-16.959999999999944,-4.2188720000001145e-05
16.639999999999965,4.2167000000001895e-05,-16.639999999999965,-4.2172400000001135e-05
16.0,4.208940000000189e-05,-16.0,-4.2155760000001095e-05
15.680000000000017,4.201148000000186e-05,-15.680000000000017,-4.213880000000112e-05
15.200000000000045,4.1933240000001806e-05,-15.04000000000001,-4.21214400000011e-05
14.720000000000027,4.1854600000001786e-05,-14.720000000000027,-4.210368000000112e-05
13.920000000000027,4.1775560000001814e-05,-14.080000000000018,-4.2085600000001114e-05
13.600000000000046,4.1696120000001786e-05,-13.760000000000037,-4.206712000000114e-05
12.8,4.1616200000001765e-05,-13.120000000000028,-4.204816000000118e-05
12.319999999999983,4.1535880000001784e-05,-12.960000000000083,-4.202880000000117e-05
11.680000000000017,4.145524000000178e-05,-12.320000000000027,-4.200904000000111e-05
11.519999999999982,4.137420000000173e-05,-12.0,-4.198888000000118e-05
10.879999999999928,4.129276000000171e-05,-11.519999999999982,-4.196840000000113e-05
10.719999999999981,4.121092000000173e-05,-11.039999999999964,-4.1947520000001124e-05
10.080000000000018,4.112860000000168e-05,-10.239999999999963,-4.192616000000113e-05
9.919999999999982,4.104580000000163e-05,-9.760000000000037,-4.1904400000001164e-05
9.280000000000019,4.096260000000162e-05,-8.960000000000036,-4.188224000000115e-05
8.960000000000036,4.087900000000165e-05,-8.480000000000018,-4.185968000000118e-05
8.319999999999983,4.079500000000163e-05,-7.840000000000055,-4.1836800000001185e-05
7.839999999999963,4.071060000000173e-05,-7.519999999999982,-4.181360000000117e-05
7.039999999999964,4.0625720000001756e-05,-6.879999999999927,-4.178992000000116e-05
6.559999999999945,4.054036000000179e-05,-6.719999999999982,-4.17656000000011e-05
5.919999999999982,4.045444000000172e-05,-6.080000000000018,-4.174048000000104e-05
5.440000000000055,4.0367880000001784e-05,-5.760000000000036,-4.171440000000108e-05
4.8,4.028060000000177e-05,-5.120000000000073,-4.168720000000108e-05
4.480000000000018,4.0192440000001715e-05,-4.640000000000055,-4.1658800000001025e-05
3.8400000000000545,4.010332000000168e-05,-3.8400000000000545,-4.162920000000108e-05
3.3600000000000363,4.001324000000167e-05,-3.3600000000000363,-4.159840000000116e-05
